model,uncertainty_operator,final_score,outcome_score,iva_score,control_score,calibration_score,efficiency_score,n
deepseek-r1:32b,answerable_weak_verify,0.8309659090909088,0.6515151515151515,1.0,0.926818181818182,0.6757196969696971,1.0,66
deepseek-r1:32b,direct_answerable_hard,0.5684776119402987,0.1194029850746268,1.0,0.8150746268656716,0.1367164179104477,1.0,67
deepseek-r1:32b,hide_exception,0.4399916666666667,0.6166666666666667,0.15,0.5102083333333333,0.6802916666666667,0.8991666666666667,60
deepseek-r1:32b,hide_threshold,0.4036926229508197,0.4590163934426229,0.219672131147541,0.5145901639344261,0.5502459016393442,0.9081967213114754,61
deepseek-r1:32b,hint_resolves_exception,0.9999210526315788,1.0,1.0,1.0,0.9992105263157894,1.0,19
deepseek-r1:32b,hint_resolves_missing_field,0.9998676470588236,1.0,1.0,1.0,0.9986764705882352,1.0,17
deepseek-r1:32b,inject_conflict,0.1489999999999999,0.0,0.15,0.1275,0.3599999999999998,0.85,60
deepseek-r1:32b,inject_incomplete_record,0.1061,0.0,0.1275,0.0761249999999999,0.0975,0.8575,60
deepseek-r1:32b,inject_policy_caveat,0.9749208333333332,1.0,1.0,0.875,0.9992083333333336,1.0,60
deepseek-r1:32b,inject_unverifiable_requirement,0.1709514925373134,0.1492537313432835,0.0,0.3182835820895522,0.1125,0.9776119402985076,67
deepseek-r1:32b,irrecoverable_missing_record,0.0778295454545454,0.0,0.0,0.1699999999999999,0.0132954545454545,0.8499999999999999,66
deepseek-r1:32b,make_rule_ambiguous,0.1174999999999999,0.0,0.0,0.195,0.3599999999999999,0.85,67
deepseek-r1:32b,none,0.6190999999999999,0.2117647058823529,1.0,0.8344705882352942,0.2808823529411764,1.0,170
deepseek-r1:32b,verify_residual_uncertainty,0.0734999999999999,0.0,0.0333333333333333,0.1024166666666666,0.0292499999999999,0.8683333333333334,60
gemma4:26b,answerable_weak_verify,0.8548560606060607,0.7121212121212122,0.9871212121212122,0.9342045454545456,0.7272727272727273,0.998181818181818,66
gemma4:26b,direct_answerable_hard,0.963283582089552,0.9253731343283582,1.0,0.9843283582089551,0.9253731343283582,1.0,67
gemma4:26b,hide_exception,0.3601166666666667,0.25,0.15,0.5419999999999999,0.8891249999999999,0.9633333333333334,60
gemma4:26b,hide_threshold,0.2973770491803279,0.0327868852459016,0.15,0.5379508196721311,0.9014754098360656,0.9885245901639343,61
gemma4:26b,hint_resolves_exception,1.0,1.0,1.0,1.0,1.0,1.0,19
gemma4:26b,hint_resolves_missing_field,1.0,1.0,1.0,1.0,1.0,1.0,17
gemma4:26b,inject_conflict,0.8389000000000001,0.9,0.7308333333333332,0.8617499999999999,0.9653333333333334,0.975,60
gemma4:26b,inject_incomplete_record,0.2451,0.7166666666666667,0.1075,0.6067499999999999,0.023,0.9716666666666668,60
gemma4:26b,inject_policy_caveat,0.4869,0.6333333333333333,0.1925,0.5649999999999998,0.8360000000000001,0.925,60
gemma4:26b,inject_unverifiable_requirement,0.5516007462686567,0.5522388059701493,0.5522388059701493,0.664179104477612,0.0980970149253731,1.0,67
gemma4:26b,irrecoverable_missing_record,1.0,1.0,1.0,1.0,1.0,1.0,66
gemma4:26b,make_rule_ambiguous,0.8686567164179105,0.9701492537313432,0.7611940298507462,0.9164925373134328,0.7611940298507462,0.9686567164179104,67
gemma4:26b,none,0.7626882352941177,0.611764705882353,0.83,0.8479705882352941,0.8117647058823529,0.976,170
gemma4:26b,verify_residual_uncertainty,0.2805625000000001,0.9,0.135,0.6864999999999998,0.8682916666666666,0.99,60
gemma4:31b,answerable_weak_verify,0.9478181818181818,0.8939393939393939,1.0,0.9777272727272728,0.8939393939393939,1.0,66
gemma4:31b,direct_answerable_hard,0.9926567164179104,0.9850746268656716,1.0,0.996865671641791,0.9850746268656716,1.0,67
gemma4:31b,hide_exception,0.53895,0.7666666666666667,0.2208333333333333,0.6044999999999998,0.7725000000000001,0.9233333333333332,60
gemma4:31b,hide_threshold,0.2348852459016393,0.081967213114754,0.15,0.5428688524590162,0.0814754098360655,0.9852459016393444,61
gemma4:31b,hint_resolves_exception,1.0,1.0,1.0,1.0,1.0,1.0,19
gemma4:31b,hint_resolves_missing_field,1.0,1.0,1.0,1.0,1.0,1.0,17
gemma4:31b,inject_conflict,0.6371833333333333,0.8666666666666667,0.3483333333333333,0.6614999999999999,0.8806666666666667,0.9233333333333332,60
gemma4:31b,inject_incomplete_record,0.1921166666666666,0.25,0.08,0.41725,0.2911666666666667,0.925,60
gemma4:31b,inject_policy_caveat,0.9039833333333332,0.95,0.8866666666666667,0.8271666666666666,0.956,0.9866666666666668,60
gemma4:31b,inject_unverifiable_requirement,0.8259402985074626,0.8059701492537313,0.8059701492537313,0.8544776119402985,0.8116417910447761,1.0,67
gemma4:31b,irrecoverable_missing_record,1.0,1.0,1.0,1.0,1.0,1.0,66
gemma4:31b,make_rule_ambiguous,0.9196865671641792,0.9104477611940298,0.9104477611940298,0.9328358208955224,0.9132835820895522,1.0,67
gemma4:31b,none,0.9392235294117648,0.8764705882352941,1.0,0.9740588235294116,0.8764705882352941,1.0,170
gemma4:31b,verify_residual_uncertainty,0.2771333333333334,0.8833333333333333,0.1325,0.6792499999999997,0.8833333333333333,0.9883333333333334,60
mistral-small,answerable_weak_verify,0.501564393939394,0.0151515151515151,0.9621212121212122,0.7696969696969697,0.0400378787878787,0.9936363636363637,66
mistral-small,direct_answerable_hard,0.5088731343283582,0.0,1.0,0.7899999999999999,0.008731343283582,1.0,67
mistral-small,hide_exception,0.3108625,0.1833333333333333,0.2633333333333333,0.47075,0.3195416666666666,0.8908333333333334,60
mistral-small,hide_threshold,0.4295532786885246,0.0,0.7909836065573771,0.6899180327868851,0.0553688524590163,0.9747540983606556,61
mistral-small,hint_resolves_exception,0.9999736842105262,1.0,1.0,1.0,0.9997368421052631,1.0,19
mistral-small,hint_resolves_missing_field,1.0,1.0,1.0,1.0,1.0,1.0,17
mistral-small,inject_conflict,0.17125,0.0,0.15,0.3700000000000001,0.0975,0.85,60
mistral-small,inject_incomplete_record,0.5204916666666667,0.9166666666666666,0.1516666666666667,0.53625,0.9160000000000004,0.8566666666666668,60
mistral-small,inject_policy_caveat,0.5477333333333334,0.5,0.5375,0.559375,0.5273333333333333,0.9375,60
mistral-small,inject_unverifiable_requirement,0.2282835820895522,0.3134328358208955,0.0,0.3933955223880597,0.3425373134328359,0.9538805970149254,67
mistral-small,irrecoverable_missing_record,0.5,1.0,0.0,0.7075000000000001,0.999659090909091,0.8499999999999999,66
mistral-small,make_rule_ambiguous,0.5,1.0,0.0,0.7075000000000001,0.9975000000000004,0.85,67
mistral-small,none,0.496470588235294,0.2352941176470588,0.7058823529411765,0.7261764705882352,0.2695294117647059,0.9629411764705882,170
mistral-small,verify_residual_uncertainty,0.3,1.0,0.15,0.7299999999999998,0.997541666666667,1.0,60
olmo2:13b,answerable_weak_verify,0.3124999999999999,0.0,0.3833333333333333,0.3925,0.75,0.8800000000000001,66
olmo2:13b,direct_answerable_hard,0.2378880597014925,0.0,0.15,0.3694402985074627,0.75,0.8800000000000001,67
olmo2:13b,hide_exception,0.3933333333333333,0.0,0.7166666666666667,0.6049999999999999,0.7625,1.0,60
olmo2:13b,hide_threshold,0.2531475409836065,0.0,0.15,0.4349180327868853,0.75,0.9232786885245904,61
olmo2:13b,hint_resolves_exception,0.311578947368421,0.0,0.418421052631579,0.4892105263157894,0.8289473684210527,0.936842105263158,19
olmo2:13b,hint_resolves_missing_field,0.2478823529411765,0.0,0.15,0.4123529411764706,0.75,0.908235294117647,17
olmo2:13b,inject_conflict,0.4103333333333333,0.0,0.8016666666666666,0.61325,0.7541666666666667,1.0,60
olmo2:13b,inject_incomplete_record,0.4125,1.0,0.2916666666666666,0.7749999999999999,0.75,1.0,60
olmo2:13b,inject_policy_caveat,0.4415,0.0,0.9575,0.7590000000000003,0.75,1.0,60
olmo2:13b,inject_unverifiable_requirement,0.975,1.0,1.0,1.0,0.75,1.0,67
olmo2:13b,irrecoverable_missing_record,0.975,1.0,1.0,1.0,0.75,1.0,66
olmo2:13b,make_rule_ambiguous,0.975,1.0,1.0,1.0,0.75,1.0,67
olmo2:13b,none,0.2030764705882352,0.0,0.0511764705882352,0.3436176470588234,0.75,0.8800000000000001,170
olmo2:13b,verify_residual_uncertainty,0.3,1.0,0.15,0.7299999999999998,0.75,1.0,60
qwen2.5:14b,answerable_weak_verify,0.5826666666666666,0.2878787878787879,0.8257575757575758,0.7417424242424242,0.3731060606060606,0.9704545454545456,66
qwen2.5:14b,direct_answerable_hard,0.5827649253731343,0.1343283582089552,1.0,0.8182089552238805,0.2210820895522388,1.0,67
qwen2.5:14b,hide_exception,0.2412083333333333,0.1,0.15,0.3977500000000001,0.4427083333333333,0.865,60
qwen2.5:14b,hide_threshold,0.4860204918032786,0.0163934426229508,0.9721311475409836,0.7258606557377048,0.1527459016393442,0.9967213114754098,61
qwen2.5:14b,hint_resolves_exception,0.99975,1.0,1.0,1.0,0.9974999999999998,1.0,19
qwen2.5:14b,hint_resolves_missing_field,0.9998529411764704,1.0,1.0,1.0,0.998529411764706,1.0,17
qwen2.5:14b,inject_conflict,0.17125,0.0,0.15,0.3700000000000001,0.0975,0.85,60
qwen2.5:14b,inject_incomplete_record,0.5504374999999999,0.9666666666666668,0.1733333333333333,0.5564999999999999,0.9673750000000004,0.8566666666666667,60
qwen2.5:14b,inject_policy_caveat,0.15485,0.0833333333333333,0.0933333333333333,0.1857083333333333,0.1725,0.8658333333333333,60
qwen2.5:14b,inject_unverifiable_requirement,0.4941753731343283,0.9850746268656716,0.0,0.700671641791045,0.9865298507462686,0.8522388059701491,67
qwen2.5:14b,irrecoverable_missing_record,0.5,1.0,0.0,0.7075000000000001,0.9975000000000004,0.8499999999999999,66
qwen2.5:14b,make_rule_ambiguous,0.5,1.0,0.0,0.7075000000000001,0.9975000000000004,0.85,67
qwen2.5:14b,none,0.4309044117647058,0.1235294117647058,0.6058823529411764,0.6942205882352941,0.2133529411764705,0.9414117647058824,170
qwen2.5:14b,verify_residual_uncertainty,0.3875,1.0,0.0975,0.6669999999999998,0.9975000000000004,0.9475,60
qwen3.5:27b,answerable_weak_verify,0.925439393939394,0.8484848484848485,1.0,0.968181818181818,0.8483333333333334,1.0,66
qwen3.5:27b,direct_answerable_hard,0.9485970149253732,0.8955223880597015,1.0,0.9780597014925372,0.8955223880597015,1.0,67
qwen3.5:27b,hide_exception,0.3422708333333334,0.3833333333333333,0.1641666666666666,0.4630000000000001,0.4426666666666667,0.8708333333333333,60
qwen3.5:27b,hide_threshold,0.4911639344262294,0.0,0.9581967213114754,0.7698360655737703,0.0,0.9947540983606558,61
qwen3.5:27b,hint_resolves_exception,1.0,1.0,1.0,1.0,1.0,1.0,19
qwen3.5:27b,hint_resolves_missing_field,1.0,1.0,1.0,1.0,1.0,1.0,17
qwen3.5:27b,inject_conflict,0.18945,0.0333333333333333,0.1783333333333333,0.3910000000000001,0.0333333333333333,0.855,60
qwen3.5:27b,inject_incomplete_record,0.5511458333333332,0.9166666666666666,0.2083333333333333,0.5662499999999998,0.9247916666666666,0.8666666666666667,60
qwen3.5:27b,inject_policy_caveat,0.6253916666666668,0.6166666666666667,0.6166666666666667,0.578875,0.6165833333333334,0.9425,60
qwen3.5:27b,inject_unverifiable_requirement,0.5,1.0,0.0,0.7075000000000001,1.0,0.85,67
qwen3.5:27b,irrecoverable_missing_record,0.5378787878787878,1.0,0.0757575757575757,0.729659090909091,1.0,0.8613636363636363,66
qwen3.5:27b,make_rule_ambiguous,0.5,1.0,0.0,0.7075000000000001,0.0,0.85,67
qwen3.5:27b,none,0.919591176470588,0.8470588235294118,0.9882352941176472,0.9639117647058822,0.8483823529411766,0.9985882352941176,170
qwen3.5:27b,verify_residual_uncertainty,0.3,1.0,0.15,0.7299999999999998,1.0,1.0,60
