model,uncertainty_operator,answer_rate,ask_hint_rate,verify_rate,abstain_rate,n
deepseek-r1:32b,answerable_weak_verify,1.0,0.0,0.0,0.0,66
deepseek-r1:32b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
deepseek-r1:32b,hide_exception,0.9833333333333333,0.016666666666666666,0.0,0.0,60
deepseek-r1:32b,hide_threshold,0.9180327868852459,0.08196721311475409,0.0,0.0,61
deepseek-r1:32b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
deepseek-r1:32b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
deepseek-r1:32b,inject_conflict,0.0,1.0,0.0,0.0,60
deepseek-r1:32b,inject_incomplete_record,0.15,0.85,0.0,0.0,60
deepseek-r1:32b,inject_policy_caveat,0.0,0.0,1.0,0.0,60
deepseek-r1:32b,inject_unverifiable_requirement,0.8507462686567164,0.14925373134328357,0.0,0.0,67
deepseek-r1:32b,irrecoverable_missing_record,0.0,1.0,0.0,0.0,66
deepseek-r1:32b,make_rule_ambiguous,0.0,1.0,0.0,0.0,67
deepseek-r1:32b,none,1.0,0.0,0.0,0.0,170
deepseek-r1:32b,verify_residual_uncertainty,0.26666666666666666,0.7,0.03333333333333333,0.0,60
gemma4:26b,answerable_weak_verify,0.9848484848484849,0.0,0.0,0.015151515151515152,66
gemma4:26b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
gemma4:26b,hide_exception,0.36666666666666664,0.0,0.0,0.6333333333333333,60
gemma4:26b,hide_threshold,0.11475409836065574,0.0,0.0,0.8852459016393442,61
gemma4:26b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
gemma4:26b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
gemma4:26b,inject_conflict,0.25,0.0,0.6833333333333333,0.06666666666666667,60
gemma4:26b,inject_incomplete_record,0.2833333333333333,0.0,0.0,0.7166666666666667,60
gemma4:26b,inject_policy_caveat,0.75,0.0,0.05,0.2,60
gemma4:26b,inject_unverifiable_requirement,0.44776119402985076,0.0,0.0,0.5522388059701493,67
gemma4:26b,irrecoverable_missing_record,0.0,0.0,0.0,1.0,66
